name	accession	samplingDate	location
hCoV-19/env/Wuhan/IVDC-HBF13-21/2020|EPI_ISL_408515|2020-01-01	EPI_ISL_408515	2020-01-01	ChinaHubei
hCoV-19/Japan/TY-WK-012/2020|EPI_ISL_408665|2020-01-29	EPI_ISL_408665	2020-01-29	Japan
hCoV-19/Japan/TY-WK-501/2020|EPI_ISL_408666|2020-01-31	EPI_ISL_408666	2020-01-31	Japan
hCoV-19/Japan/TY-WK-521/2020|EPI_ISL_408667|2020-01-31	EPI_ISL_408667	2020-01-31	Japan
hCoV-19/Vietnam/VR03-38142/2020|EPI_ISL_408668|2020-01-24	EPI_ISL_408668	2020-01-24	Vietnam
hCoV-19/Japan/KY-V-029/2020|EPI_ISL_408669|2020-01-29	EPI_ISL_408669	2020-01-29	Japan
hCoV-19/USA/WI1/2020|EPI_ISL_408670|2020-01-31	EPI_ISL_408670	2020-01-31	USA
hCoV-19/Australia/NSW02/2020|EPI_ISL_408976|2020-01-22	EPI_ISL_408976	2020-01-22	Australia
hCoV-19/Australia/NSW03/2020|EPI_ISL_408977|2020-01-25	EPI_ISL_408977	2020-01-25	Australia
hCoV-19/Wuhan/WH05/2020|EPI_ISL_408978|2020-02-07	EPI_ISL_408978	2020-02-07	ChinaHubei
hCoV-19/USA/MA1/2020|EPI_ISL_409067|2020-01-29	EPI_ISL_409067	2020-01-29	USA
hCoV-19/USA/CA-CDC-6/2020|EPI_ISL_410044|2020-01-27	EPI_ISL_410044	2020-01-27	USA
hCoV-19/USA/IL2/2020|EPI_ISL_410045|2020-01-28	EPI_ISL_410045	2020-01-28	USA
hCoV-19/Taiwan/NTU02/2020|EPI_ISL_410218|2020-02-05	EPI_ISL_410218	2020-02-05	Taiwan
hCoV-19/Nepal/61/2020|EPI_ISL_410301|2020-01-13	EPI_ISL_410301	2020-01-13	Nepal
hCoV-19/France/ARA-739/2020|EPI_ISL_410486|2020-02-08	EPI_ISL_410486	2020-02-08	France
hCoV-19/Japan/NA-20-05-1/2020|EPI_ISL_410531|2020-01-25	EPI_ISL_410531	2020-01-25	Japan
hCoV-19/Japan/OS-20-07-1/2020|EPI_ISL_410532|2020-01-23	EPI_ISL_410532	2020-01-23	Japan
hCoV-19/Singapore/4/2020|EPI_ISL_410535|2020-02-03	EPI_ISL_410535	2020-02-03	Singapore
hCoV-19/Singapore/5/2020|EPI_ISL_410536|2020-02-06	EPI_ISL_410536	2020-02-06	Singapore
hCoV-19/Singapore/6/2020|EPI_ISL_410537|2020-02-09	EPI_ISL_410537	2020-02-09	Singapore
hCoV-19/Italy/LAZ-INMI1-isl/2020|EPI_ISL_410545|2020-01-29	EPI_ISL_410545	2020-01-29	Italy
hCoV-19/Singapore/7/2020|EPI_ISL_410713|2020-01-27	EPI_ISL_410713	2020-01-27	Singapore
hCoV-19/Singapore/8/2020|EPI_ISL_410714|2020-02-03	EPI_ISL_410714	2020-02-03	Singapore
hCoV-19/Singapore/9/2020|EPI_ISL_410715|2020-02-04	EPI_ISL_410715	2020-02-04	Singapore
hCoV-19/Singapore/10/2020|EPI_ISL_410716|2020-02-04	EPI_ISL_410716	2020-02-04	Singapore
hCoV-19/Australia/QLD03/2020|EPI_ISL_410717|2020-02-05	EPI_ISL_410717	2020-02-05	Australia
hCoV-19/Australia/QLD04/2020|EPI_ISL_410718|2020-02-05	EPI_ISL_410718	2020-02-05	Australia
